Input Size, Comrak (RUST) Avg Time (ms), Marked (JS) Avg Time (ms), Markdown-It (JS) Avg Time (ms)
small, 0.03, 0.05, 0.07
medium, 0.27, 0.47, 0.40
large, 7.77, 13.29, 8.80
